Number of doors,Tipo di corpo,CO2 emissions,Luggage compartment volume,Dimensioni e Peso,Front Terrain Angle,Motore e trasporzione,Equipamento,Turning circle diameter,Rubber size,Acceleration from 0 to 100 km/h,Production period,Wading depth,Drive,Ground clearance,Payload,Number of cylinders,Cylinder Arrangement,Cylinder capacity,Length,Rear Terrain Angle,Category,Exports,Department of Environmental Protection,Altitude,Maximum Torque,Maximum power,On-road consumption,Performace,Ramp angle,Own weight,Gearbox,Number of persons to be transported,Width,Wheelbase,Mixed consumption,Urban consumption,Top speed,Total weight,Modern price,Fuel,Fuel tank
5 doors,Non disponibile,294 g/km,630 l,Non disponibile,Non disponibile,Non disponibile,"12V connection, Interior rearview mirror, auto-darkening, Seat belts, Rear: three-point, Luggage net, Smoking package, Power windows front to rear,, Rain sensor wiper, Automatic headlights,, Headrests front to rear [5 pcs],, Braking system: Anti-lock brake system [ABS],, Headlight spacing from inside, electric,, Headlight washer with high-pressure nozzles,, Chassis design: rear air suspension with automatic level control, Chassis control: electronic, Child seat preparation [ISOFIX], Speakers [6 pcs] , Starter lock, Information system: On-board computer, Upholstery: fabric, Rear armrest with beverage holder, Steering wheel: height-adjustable, Alloy wheels: 18', Remote central locking, Exterior temperature sensor, Exterior rearview mirror automatically dimming [left], Exterior rear view mirror electric folding mirrors, Exterior rear-view mirrors with memory, Exterior rear-view mirrors: heated, Air conditioning [ACC] automatic,, Airbag on driver and passenger side,,, Airbag, side [front] 2pcs.,,, Microfilter [dust-and] pollen filter],, Reading lights front and rear, Spare brake light [third brake light], Spare wheel: emergency wheel, Radio CD player, Radio antenna: integrated in rear windshield, Radio control on steering wheel,, Alarm system,, Cruise control [cruise control], Gear shift: 5 Automatic, Illuminated vanity mirror, Tinted windows, Ultrasonic parking control system rear,, Seats: memory on the driver's side,, Towing hook, Removable towbar, Seats rear: tiltable, Divisional, Seats: lumbar support adjustment front, Electrically adjustable passenger seat, electrically adjustable driver's seat, Lighting: automatic headlight activation, exit light, fog lights front, fog light [fog lamp] rear, xenon headlights",12 m,225/60 R18,6.4 seconds,2005-2007,Non disponibile,Rear wheel,Non disponibile,354 kg,8 cylinders,VOLTS,"5,654 cm³",4 999 mm,Non disponibile,Upper-middle class,Combi,EURO 4,1 481 mm,525 Nm,"249 kW, 339 hp","9,0 l/100km",Non disponibile,Non disponibile,1 947 kg,Automatic (5-speed) transmission,5 persons,1.881mm,3 048 mm,"12,5 l/100km",18.2 l/100km,250 km/h,"2,301 kg",16 900 000 HUF,Gasoline,71 l
4 doors,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,125/82 SR15,Non disponibile,1979-1985,Non disponibile,Front wheel,Non disponibile,345 kg,2 cylinders,Boxer,602 cm³,Non disponibile,Non disponibile,Mini-cars,Sedan,Non disponibile,Non disponibile,Non disponibile,"21 kW, 29 HP",Non disponibile,Non disponibile,Non disponibile,585 kg,Manual (4-speed) transmission,5 persons,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,930 kg,Non disponibile,Gasoline,Non disponibile
Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,1969-1977,Non disponibile,Front wheel,Non disponibile,Non disponibile,2 cylinders,Boxer,602 cm³,Non disponibile,Non disponibile,Non disponibile,Staircase,Non disponibile,Non disponibile,Non disponibile,"24 kW, 33 HP",Non disponibile,Non disponibile,Non disponibile,Non disponibile,Manual (4-speed) transmission,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Gasoline,Non disponibile
Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,1973-1977,Non disponibile,Front wheel,Non disponibile,Non disponibile,4 cylinders,Soros,1 015 cm³,Non disponibile,Non disponibile,Non disponibile,Staircase,Non disponibile,Non disponibile,Non disponibile,"40 kW, 54 HP",Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Gasoline,Non disponibile
Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,1973-1977,Non disponibile,Front wheel,Non disponibile,Non disponibile,4 cylinders,Soros,1 015 cm³,Non disponibile,Non disponibile,Non disponibile,Combi,Non disponibile,Non disponibile,Non disponibile,"40 kW, 54 HP",Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Gasoline,Non disponibile
Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,1972-1983,Non disponibile,Front wheel,Non disponibile,Non disponibile,4 cylinders,Non disponibile,"1,289 cm³",Non disponibile,Non disponibile,Non disponibile,Combi,Non disponibile,Non disponibile,Non disponibile,"40 kW, 54 HP",Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Gasoline,Non disponibile
Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,1990-2004,Non disponibile,Front wheel,Non disponibile,Non disponibile,4 cylinders,Non disponibile,"1,289 cm³",Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,"41 kW, 56 HP",Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Gasoline,Non disponibile
2 doors,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,175/80 R14,Non disponibile,1995-1997,Non disponibile,Front wheel,Non disponibile,1 000 kg,4 cylinders,Soros,"1,397 cm³",Non disponibile,Non disponibile,Light commercial vehicle,Pickup,Non disponibile,Non disponibile,Non disponibile,"46 kW, 63 HP",Non disponibile,Non disponibile,Non disponibile,1 200 kg,Manual (5-speed) transmission,2 persons,Non disponibile,2 675 mm,Non disponibile,Non disponibile,Non disponibile,2 200 kg,Non disponibile,Gasoline,Non disponibile
4 doors,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,175/80 R14,Non disponibile,1995-1997,Non disponibile,Front wheel,Non disponibile,730 kg,4 cylinders,Soros,"1,397 cm³",Non disponibile,Non disponibile,Light commercial vehicle,Double cab chassis,Non disponibile,Non disponibile,Non disponibile,"46 kW, 63 HP",Non disponibile,Non disponibile,Non disponibile,1 500 kg,Manual (5-speed) transmission,5 persons,Non disponibile,"2,795 mm",Non disponibile,Non disponibile,Non disponibile,2 230 kg,Non disponibile,Gasoline,Non disponibile
4 doors,Non disponibile,Non disponibile,560 l,Non disponibile,Non disponibile,Non disponibile,"Interior trunk lid, Seat belts, Rear: 3-point automatic, CD player, Power windows front to rear, Headrests front to rear [4 pcs], Headlight adjustment from inside, Audible warning when seat belts are switched on, Warning light for doors left open, Tachometer, Timer: digital, Ignition lock,, Catalytic converter,, Centre lock, Exterior rear-view mirrors in body colour, Exterior rear-view mirrors electrically adjustable, Exterior rear-view mirrors: internally adjustable, Air-conditioning [AC],, Driver side airbag,, Side rubber band, 4 speakers, Radio antenna: electric, Transmission: 5-speed manual, Rear windscreen: heated,, Power steering,, Tinted windows, Collision protection: side door jambs, Emergency lights in body colour, Illumination: fog lights headlights at the front",Non disponibile,185/65 R14,12.8 seconds,1995-1998,Non disponibile,Front wheel,Non disponibile,477 kg,4 cylinders,Soros,"1,498 cm³",4 615 mm,Non disponibile,Mid-range,Sedan,Non disponibile,1 388 mm,137 Nm,"65 kW, 88 HP",Non disponibile,Non disponibile,Non disponibile,1.103 kg,Manual (5-speed) transmission,5 persons,"1,718mm","2,620 mm",Non disponibile,Non disponibile,174 km/h,1 580 kg,2 150 000 HUF,Gasoline,50 l
4 doors,Non disponibile,Non disponibile,560 l,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,185/65 R14,11.0 seconds,1995-1997,Non disponibile,Front wheel,Non disponibile,472 kg,4 cylinders,Soros,"1,796 cm³",4 615 mm,Non disponibile,Mid-range,Sedan,Non disponibile,1 388 mm,145 Nm,"66 kW, 90 HP",Non disponibile,Non disponibile,Non disponibile,1 108 kg,Manual (5-speed) transmission,5 persons,"1,718mm","2,620 mm",Non disponibile,Non disponibile,180 km/h,1 580 kg,Non disponibile,Gasoline,50 l
4 doors,Non disponibile,Non disponibile,560 l,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,185/65 R14,11.0 seconds,1995-1998,Non disponibile,Front wheel,Non disponibile,472 kg,4 cylinders,Soros,"1,796 cm³",4 615 mm,Non disponibile,Mid-range,Sedan,Non disponibile,1 388 mm,145 Nm,"70 kW, 95 HP",Non disponibile,Non disponibile,Non disponibile,1 108 kg,Manual (5-speed) transmission,5 persons,"1,718mm","2,620 mm",Non disponibile,Non disponibile,180 km/h,1 580 kg,Non disponibile,Gasoline,50 l
4 doors,Non disponibile,Non disponibile,560 l,Non disponibile,Non disponibile,Non disponibile,"Interior trunk lid, Seat belts, Rear: 3-point automatic, CD player, Power windows front to rear, Headrests front to rear [4 pcs], Headlight adjustment from inside, Audible warning when seat belts are engaged, Warning light for doors left open, Tachometer, Timer: digital, Starter lock,, Catalytic converter,, Steering column: height adjustable, Center lock, Exterior rear-view mirrors in body color, Exterior rear-view mirrors electrically adjustable and heated, Side rubber band, 4 speakers, Radio antenna: electric, Transmission: 5-speed mechanical, Windshield rear: heated,, Power steering,, Tinted windows, Crash protection: door side bracing, Emergency devices in body colour, Lighting: fog lights front",Non disponibile,185/65 R14,10.8 seconds,1995-1998,Non disponibile,Front wheel,Non disponibile,472 kg,4 cylinders,Soros,"1,998 cm³",4 615 mm,Non disponibile,Mid-range,Sedan,Non disponibile,1 388 mm,164 Nm,"77 kW, 105 HP",Non disponibile,Non disponibile,Non disponibile,1 108 kg,Manual (5-speed) transmission,5 persons,"1,718mm","2,620 mm",Non disponibile,Non disponibile,185 km/h,1 580 kg,2 799 000 Ft,Gasoline,50 l
5 doors,Non disponibile,Non disponibile,336 l,Non disponibile,Non disponibile,Non disponibile,"Interior exterior mirrors [2 pcs], Headrests [2 pcs], Tachometer,, Catalytic converter,, Mechanical transmission, 5-speed,, Tinted glazing",Non disponibile,175/70 R13 H,9.8 seconds,1989-1992,Non disponibile,Front wheel,Non disponibile,435 kg,4 cylinders,Soros,"1,589 cm³",4 260 mm,Non disponibile,Lower middle category,Hatchback,Non disponibile,1.375mm,134 Nm,"77 kW, 105 HP",Non disponibile,Non disponibile,Non disponibile,985 kg,Manual (5-speed) transmission,5 persons,1 660 mm,2 470 mm,Non disponibile,Non disponibile,185 km/h,1 420 kg,1 150 000 HUF,Gasoline,50 l
5 doors,Non disponibile,Non disponibile,336 l,Non disponibile,Non disponibile,Non disponibile,"Electric windows [2 pcs], Power windows [2 pcs], Power windows [2 pcs], Headrests [4 pcs], Tachometer, Rear seat, divisible,, Catalytic converter,, Central locking, Mechanical transmission, 5-speed,, Power steering,,, Tinted glazing",Non disponibile,185/60 R14 H,9.8 seconds,1989-1992,Non disponibile,Front wheel,Non disponibile,435 kg,4 cylinders,Soros,"1,589 cm³",4 260 mm,Non disponibile,Lower middle category,Hatchback,Non disponibile,1.375mm,134 Nm,"77 kW, 105 HP",Non disponibile,Non disponibile,Non disponibile,985 kg,Manual (5-speed) transmission,5 persons,1 660 mm,2 470 mm,Non disponibile,Non disponibile,185 km/h,1 420 kg,1 290 000 HUF,Gasoline,50 l
5 doors,Non disponibile,177 g/km,336 l,Non disponibile,Non disponibile,Non disponibile,"Interior exterior mirrors [2 pcs], Head restraints [4 pcs], Tachometer, Rear seat, divisible,, Catalytic converter,, Mechanical transmission, 5-speed,, Power steering,,, Tinted glazing",Non disponibile,175/70 R13 H,9.8 seconds,1992-1997,Non disponibile,Front wheel,Non disponibile,465 kg,4 cylinders,Soros,"1,589 cm³",4 260 mm,Non disponibile,Lower middle category,Hatchback,Non disponibile,1.375mm,134 Nm,"77 kW, 105 HP","10,1 l/100km",Non disponibile,Non disponibile,955 kg,Manual (5-speed) transmission,5 persons,1 660 mm,2 470 mm,"7,4 l/100km","5,9 l/100km",185 km/h,1 420 kg,1 399 900 Ft,Gasoline,50 l
5 doors,Non disponibile,177 g/km,336 l,Non disponibile,Non disponibile,Non disponibile,"Power windows front to rear, Head restraints front to rear [4 pcs], Tachometer,, Catalytic converter,, Central locking, Electrically adjustable exterior mirrors, Air conditioning [AC], Transmission: 5-speed mechanical,, Power steering,, Tinted windows, Seats housings foldable: foldable and divisible",Non disponibile,185/60 R14 H,9.8 seconds,1995-1997,Non disponibile,Front wheel,Non disponibile,465 kg,4 cylinders,Soros,"1,589 cm³",4 260 mm,Non disponibile,Lower middle category,Hatchback,Non disponibile,1.375mm,134 Nm,"77 kW, 105 HP","10,1 l/100km",Non disponibile,Non disponibile,955 kg,Manual (5-speed) transmission,5 persons,1 660 mm,2 470 mm,"7,4 l/100km","5,9 l/100km",185 km/h,1 420 kg,3 380 000 HUF,Gasoline,50 l
2 doors,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,1984-1985,Non disponibile,Front wheel,Non disponibile,Non disponibile,4 cylinders,Non disponibile,"2,555 cm³",Non disponibile,Non disponibile,Non disponibile,Cabrio,Non disponibile,Non disponibile,Non disponibile,"75 kW, 102 HP",Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Gasoline,Non disponibile
2 doors,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,1986.,Non disponibile,Front wheel,Non disponibile,Non disponibile,4 cylinders,Non disponibile,"2,507 cm³",Non disponibile,Non disponibile,Non disponibile,Cabrio,Non disponibile,Non disponibile,Non disponibile,"75 kW, 102 HP",Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Gasoline,Non disponibile
2 doors,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,1984-1985,Non disponibile,Front wheel,Non disponibile,Non disponibile,4 cylinders,Non disponibile,"2,555 cm³",Non disponibile,Non disponibile,Non disponibile,Cup,Non disponibile,Non disponibile,Non disponibile,"75 kW, 102 HP",Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Gasoline,Non disponibile
2 doors,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,1986.,Non disponibile,Front wheel,Non disponibile,Non disponibile,4 cylinders,Non disponibile,"2,507 cm³",Non disponibile,Non disponibile,Non disponibile,Cup,Non disponibile,Non disponibile,Non disponibile,"75 kW, 102 HP",Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Gasoline,Non disponibile
Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,1977-1980,Non disponibile,Rear wheel,Non disponibile,Non disponibile,8 cylinders,Non disponibile,2 926 cm³,Non disponibile,Non disponibile,Non disponibile,Cup,Non disponibile,Non disponibile,Non disponibile,"188 kW, 256 hp",Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Gasoline,Non disponibile
Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,1982-1985,Non disponibile,Rear wheel,Non disponibile,Non disponibile,8 cylinders,VOLTS,2 927 cm³,Non disponibile,Non disponibile,Non disponibile,Cup,Non disponibile,Non disponibile,Non disponibile,"177 kW, 241 hp",Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Gasoline,Non disponibile
